session	fixture	phase	sample	app_pid	webkit_pids	pid_count	phys_footprint_bytes	rss_bytes	status	note
3	full	library	2	92131	92150,92156,92157	4	287199232	242520064	ok	app + WebKit mới sinh
3	full	library	3	92131	92150,92156,92157	4	279400448	245325824	ok	app + WebKit mới sinh
3	full	library	4	92131	92150,92156,92157	4	279003136	244989952	ok	app + WebKit mới sinh
3	full	library	5	92131	92150,92156,92157	4	278667264	244899840	ok	app + WebKit mới sinh
3	full	library	6	92131	92150,92156,92157	4	278667264	244899840	ok	app + WebKit mới sinh
3	full	library	7	92131	92150,92156,92157	4	278667264	244858880	ok	app + WebKit mới sinh
3	full	library	8	92131	92150,92156,92157	4	278601728	244850688	ok	app + WebKit mới sinh
3	full	library	9	92131	92150,92156,92157	4	278601728	244850688	ok	app + WebKit mới sinh
3	full	library	10	92131	92150,92156,92157	4	278601728	244850688	ok	app + WebKit mới sinh
3	full	reading	1	92131	92150,92156,92157	4	655532032	682180608	ok	app + WebKit mới sinh
3	full	reading	2	92131	92150,92156,92157	4	690827264	717688832	ok	app + WebKit mới sinh
3	full	reading	3	92131	92150,92156,92157	4	722317312	752066560	ok	app + WebKit mới sinh
3	full	reading	4	92131	92150,92156,92157	4	748691456	787054592	ok	app + WebKit mới sinh
3	full	reading	5	92131	92150,92156,92157	4	796053504	858996736	ok	app + WebKit mới sinh
3	full	reading	6	92131	92150,92156,92157	4	857358336	906547200	ok	app + WebKit mới sinh
3	full	reading	7	92131	92150,92156,92157	4	736108544	834478080	ok	app + WebKit mới sinh
3	full	reading	8	92131	92150,92156,92157	4	748429312	835932160	ok	app + WebKit mới sinh
3	full	reading	9	92131	92150,92156,92157	4	767082496	831508480	ok	app + WebKit mới sinh
3	full	reading	10	92131	92150,92156,92157	4	773439488	830939136	ok	app + WebKit mới sinh
3	full	back_library_keepalive	1	92131	92150,92156,92157	4	724357120	1028825088	ok	app + WebKit mới sinh
3	full	back_library_keepalive	2	92131	92150,92156,92157	4	762458112	1028825088	ok	app + WebKit mới sinh
3	full	back_library_keepalive	3	92131	92150,92156,92157	4	762462208	1004494848	ok	app + WebKit mới sinh
3	full	back_library_keepalive	4	92131	92150,92156,92157	4	762462208	1004179456	ok	app + WebKit mới sinh
3	full	back_library_keepalive	5	92131	92150,92156,92157	4	745414656	1002389504	ok	app + WebKit mới sinh
3	full	back_library_keepalive	6	92131	92150,92156,92157	4	745443328	1001635840	ok	app + WebKit mới sinh
3	full	back_library_keepalive	7	92131	92150,92156,92157	4	745443328	1001635840	ok	app + WebKit mới sinh
3	full	back_library_keepalive	8	92131	92150,92156,92157	4	745443328	1001635840	ok	app + WebKit mới sinh
3	full	back_library_keepalive	9	92131	92150,92156,92157	4	745443328	1001635840	ok	app + WebKit mới sinh
3	full	back_library_keepalive	10	92131	92150,92156,92157	4	745435136	1001627648	ok	app + WebKit mới sinh
3	frontier	library	1	95464	95495,95498,95501	4	294637568	242823168	ok	app + WebKit mới sinh
3	frontier	library	2	95464	95495,95498,95501	4	293842944	242823168	ok	app + WebKit mới sinh
3	frontier	library	3	95464	95495,95498,95501	4	288526336	246456320	ok	app + WebKit mới sinh
3	frontier	library	4	95464	95495,95498,95501	4	285655040	246292480	ok	app + WebKit mới sinh
3	frontier	library	5	95464	95495,95498,95501	4	285298688	246091776	ok	app + WebKit mới sinh
3	frontier	library	6	95464	95495,95498,95501	4	285093888	246091776	ok	app + WebKit mới sinh
3	frontier	library	7	95464	95495,95498,95501	4	285093888	246091776	ok	app + WebKit mới sinh
3	frontier	library	8	95464	95495,95498,95501	4	284983296	245981184	ok	app + WebKit mới sinh
3	frontier	library	9	95464	95495,95498,95501	4	284930048	245927936	ok	app + WebKit mới sinh
3	frontier	library	10	95464	95495,95498,95501	4	284930048	245927936	ok	app + WebKit mới sinh
3	frontier	reading	1	95464	95495,95498,95501	4	326938624	249536512	ok	app + WebKit mới sinh
3	frontier	reading	2	95464	95495,95498,95501	4	383369216	249536512	ok	app + WebKit mới sinh
3	frontier	reading	3	95464	95495,95498,95501	4	383373312	249544704	ok	app + WebKit mới sinh
3	frontier	reading	4	95464	95495,95498,95501	4	383369216	249544704	ok	app + WebKit mới sinh
3	frontier	reading	5	95464	95495,95498,95501	4	383328256	249479168	ok	app + WebKit mới sinh
3	frontier	reading	6	95464	95495,95498,95501	4	383291392	249442304	ok	app + WebKit mới sinh
3	frontier	reading	7	95464	95495,95498,95501	4	383291392	249442304	ok	app + WebKit mới sinh
3	frontier	reading	8	95464	95495,95498,95501	4	361205760	249442304	ok	app + WebKit mới sinh
3	frontier	reading	9	95464	95495,95498,95501	4	304762880	249442304	ok	app + WebKit mới sinh
3	frontier	reading	10	95464	95495,95498,95501	4	304762880	249442304	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	1	95464	95495,95498,95501	4	364363776	252829696	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	2	95464	95495,95498,95501	4	403005440	252854272	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	3	95464	95495,95498,95501	4	403013632	252854272	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	4	95464	95495,95498,95501	4	403013632	252854272	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	5	95464	95495,95498,95501	4	402960384	252801024	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	6	95464	95495,95498,95501	4	402857984	252698624	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	7	95464	95495,95498,95501	4	402857984	252698624	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	8	95464	95495,95498,95501	4	363077632	252698624	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	9	95464	95495,95498,95501	4	323428352	252698624	ok	app + WebKit mới sinh
3	frontier	back_library_keepalive	10	95464	95495,95498,95501	4	266985472	252698624	ok	app + WebKit mới sinh
